Task ID,Task Name,Module,Assigned To,Start Date,Deadline,Status,Progress %,Remarks,Priority
"━━━━━━━━━━━━━ PHASE 1: PROJECT INITIATION (MARCH 1-7, 2026) ━━━━━━━━━━━━━","","","","","","","","",""
HC-001,Project Topic Finalization: Healthcare Management System,Planning,All Members,01-Mar-2026,02-Mar-2026,Completed,100%,Topic approved by supervisor - DBMS focused,High
HC-002,Requirements Gathering: Patient Doctor Appointment Modules,Planning,Pollob,03-Mar-2026,05-Mar-2026,Completed,100%,Functional & non-functional requirements collected,High
HC-003,Requirements Gathering: Billing Prescription & Reports,Planning,Shihab,03-Mar-2026,05-Mar-2026,Completed,100%,All billing & report requirements listed,High
HC-004,Requirements Gathering: Admin Dashboard & User Roles,Planning,Afrin,03-Mar-2026,05-Mar-2026,Completed,100%,Admin superadmin doctor patient roles defined,High
HC-005,Feasibility Study & Technology Stack Finalization,Planning,All Members,04-Mar-2026,06-Mar-2026,Completed,100%,Python Flask React PostgreSQL chosen,High
HC-006,Project Proposal Draft Writing (Chapters 1-3),Documentation,Pollob,05-Mar-2026,07-Mar-2026,Completed,100%,Introduction Literature Review Methodology,High
HC-007,ER Diagram Design - Healthcare System (Complete),Database Design,Shihab,05-Mar-2026,07-Mar-2026,Completed,100%,Patient Doctor Appointment Prescription Billing entities,High
"━━━━━━━━━━━━━ PHASE 2: DATABASE DESIGN (MARCH 8-14, 2026) ━━━━━━━━━━━━━","","","","","","","","",""
HC-008,Database Schema Design - All Tables Normalized,Database Design,Shihab,08-Mar-2026,10-Mar-2026,Completed,100%,3NF normalization applied all tables,High
HC-009,Patient Table Design (Demographics Medical History),Database Design,Shihab,09-Mar-2026,11-Mar-2026,Completed,100%,Patient demographics blood group allergies fields,High
HC-010,Doctor Table & Specialization Table Design,Database Design,Shihab,09-Mar-2026,11-Mar-2026,Completed,100%,Doctor schedule availability included,Medium
HC-011,Appointment & Scheduling Tables Design,Database Design,Shihab,10-Mar-2026,12-Mar-2026,Completed,100%,Status tracking date time slot management,High
HC-012,Prescription & Medication Tables Design,Database Design,Shihab,10-Mar-2026,12-Mar-2026,Completed,100%,Medicine dosage frequency duration fields,Medium
HC-013,Billing Invoice & Payment Tables Design,Database Design,Shihab,11-Mar-2026,13-Mar-2026,Completed,100%,Payment status mode transaction tracking,High
HC-014,SQL Script Writing - All Table Creation,Database Design,Shihab,12-Mar-2026,14-Mar-2026,Completed,100%,CREATE TABLE scripts with constraints indexes,High
HC-015,Sample Data Insertion (Dummy Patients Doctors),Database Design,Shihab,13-Mar-2026,14-Mar-2026,Completed,100%,50+ dummy records for testing,Medium
"━━━━━━━━━━━━━ PHASE 3: BACKEND SETUP & CORE API (MARCH 15-28, 2026) ━━━━━━━━━━━━━","","","","","","","","",""
HC-016,Python Flask Project Setup & Virtual Environment,Backend Development,Pollob,15-Mar-2026,16-Mar-2026,Completed,100%,Flask app structure venv requirements.txt,High
HC-017,PostgreSQL Database Connection & Configuration,Backend Development,Pollob,15-Mar-2026,17-Mar-2026,Completed,100%,SQLAlchemy ORM psycopg2 connection pool,High
HC-018,User Authentication Model (Flask-Login JWT),Backend Development,Pollob,17-Mar-2026,20-Mar-2026,Completed,100%,Bcrypt hashing JWT token generation,High
HC-019,Patient Registration API - POST Endpoint,Backend Development,Pollob,18-Mar-2026,21-Mar-2026,Completed,100%,Full CRUD for patient management,High
HC-020,Doctor Management API - CRUD Endpoints,Backend Development,Pollob,19-Mar-2026,22-Mar-2026,Completed,100%,Doctor registration specialization assignment,High
HC-021,Appointment Booking API Development,Backend Development,Pollob,21-Mar-2026,25-Mar-2026,Completed,100%,Slot checking conflict resolution booking logic,High
HC-022,Appointment Status Update API (Confirm/Cancel),Backend Development,Pollob,23-Mar-2026,26-Mar-2026,Completed,100%,Status workflow pending-confirmed-cancelled,High
HC-023,Prescription Creation API Development,Backend Development,Pollob,24-Mar-2026,28-Mar-2026,Completed,100%,Doctor creates prescription with medicines,High
HC-024,Billing & Invoice Generation API,Backend Development,Pollob,26-Mar-2026,28-Mar-2026,Completed,100%,Auto-calculate charges generate invoice PDF,Medium
"━━━━━━━━━━━━━ PHASE 4: FRONTEND DEVELOPMENT START (MARCH 22 - APRIL 11, 2026) ━━━━━━━━━━━━━","","","","","","","","",""
HC-025,React Project Initialization & Folder Structure,Frontend Development,Afrin,22-Mar-2026,23-Mar-2026,Completed,100%,React Router Axios Material-UI setup,High
HC-026,Login & Registration Pages (Frontend),Frontend Development,Afrin,23-Mar-2026,26-Mar-2026,Completed,100%,Form validation error handling UI,High
HC-027,Admin Dashboard Layout & Navigation,Frontend Development,Afrin,25-Mar-2026,29-Mar-2026,Completed,100%,Sidebar topbar responsive design,High
HC-028,Doctor Dashboard Design & Development,Frontend Development,Afrin,27-Mar-2026,31-Mar-2026,Completed,100%,Doctor-specific views appointments list,High
HC-029,Patient Dashboard Design & Development,Frontend Development,Afrin,28-Mar-2026,01-Apr-2026,Completed,100%,Patient profile appointment history,High
HC-030,Patient Registration Form UI,Frontend Development,Afrin,30-Mar-2026,03-Apr-2026,Completed,100%,Multi-step form with validation,Medium
HC-031,Doctor Management Page (Admin Panel),Frontend Development,Afrin,01-Apr-2026,05-Apr-2026,Completed,100%,Add edit delete doctors table view,High
HC-032,Appointment Booking Interface (Patient Side),Frontend Development,Afrin,03-Apr-2026,07-Apr-2026,Completed,100%,Calendar view slot selection doctor filter,High
HC-033,Appointment Management Page (Admin/Doctor),Frontend Development,Afrin,05-Apr-2026,09-Apr-2026,Completed,100%,Approve reject reschedule appointments,High
HC-034,Prescription View & Print Page,Frontend Development,Afrin,07-Apr-2026,11-Apr-2026,Completed,100%,Printable prescription with doctor signature,Medium
"━━━━━━━━━━━━━ PHASE 5: ADVANCED FEATURES (APRIL 12-30, 2026) ━━━━━━━━━━━━━","","","","","","","","",""
HC-035,Billing & Invoice Module Frontend,Frontend Development,Afrin,12-Apr-2026,16-Apr-2026,Completed,100%,Invoice list generate download PDF,High
HC-036,Payment Integration (Dummy/Test Gateway),Backend Development,Pollob,13-Apr-2026,18-Apr-2026,Completed,100%,Payment simulation status tracking,Medium
HC-037,Medical History & Records View,Frontend Development,Afrin,14-Apr-2026,18-Apr-2026,Completed,100%,Patient-wise complete medical timeline,Medium
HC-038,Search & Filter Functionality (Patients Doctors),Backend Development,Pollob,16-Apr-2026,20-Apr-2026,Completed,100%,Full-text search with filters,High
HC-039,Search UI with Advanced Filters,Frontend Development,Afrin,17-Apr-2026,21-Apr-2026,Completed,100%,Dynamic filter components debounce search,Medium
HC-040,Reporting Module - Daily/Monthly Reports,Backend Development,Pollob,19-Apr-2026,24-Apr-2026,Completed,100%,Patient count revenue appointment stats,High
HC-041,Reports Dashboard with Charts & Graphs,Frontend Development,Afrin,20-Apr-2026,25-Apr-2026,Completed,100%,Chart.js / Recharts integration,Medium
HC-042,Notification System (Email Alerts for Appointments),Backend Development,Pollob,22-Apr-2026,27-Apr-2026,Completed,100%,SMTP email booking confirmation reminder,Medium
